Digi-Key Part No.;Manufacturer Name;Mfr Part No.;Customer Reference;Qty1;
74LVC2G17DW-7DICT-ND;Diodes Incorporated;74LVC2G17DW-7;REF21;12;
101-00303-68-1-ND;Amphenol Commercial Products;101-00303-68;REF50;6;
F2871CT-ND;Littelfuse Inc.;2920L185DR;REF4;3;
36-2998-ND;Keystone Electronics;2998;REF19;3;
478-9368-1-ND;AVX Corporation;06031A300J4T2A;REF37;6;
WM17141CT-ND;Molex; LLC;473460001;REF26;6
535-9078-1-ND;Abracon LLC;ABLS-25.000MHZ-B2F-T;REF39;3;
B360B-FDICT-ND;Diodes Incorporated;B360B-13-F;REF22;3;
BTS3405GCT-ND;Infineon Technologies;BTS3405G;REF23;6;
568-6240-1-ND;NXP Semiconductors;BZA456A;115;REF24;6
445-5640-1-ND;TDK Corporation;CGA3E2C0G1H101J080AA;REF7;6;
445-5659-1-ND;TDK Corporation;CGA3E2X7R1H102K080AA;REF6;24;
445-5666-1-ND;TDK Corporation;CGA3E2X7R1H104K080AA;REF5;129;
445-7878-1-ND;TDK Corporation;CGA3E3X5R1H105K080AB;REF35;21;
H11630CT-ND;Hirose Electric Co Ltd;DF40C-70DP-0.4V(51);REF48;3;
P15124CT-ND;Panasonic Electronic Components;ERB-RE1R00V;REF43;3;
P120HCT-ND;Panasonic Electronic Components;ERJ-3EKF1200V;REF10;6;
P2.43KHCT-ND;Panasonic Electronic Components;ERJ-3EKF2431V;REF13;6;
P41.2KHCT-ND;Panasonic Electronic Components;ERJ-3EKF4122V;REF15;6;
P4.70KHCT-ND;Panasonic Electronic Components;ERJ-3EKF4701V;REF18;21;
P1.0KGCT-ND;Panasonic Electronic Components;ERJ-3GEYJ102V;REF9;24;
P10KGCT-ND;Panasonic Electronic Components;ERJ-3GEYJ103V;REF8;69;
P1.1KGCT-ND;Panasonic Electronic Components;ERJ-3GEYJ112V;REF11;18;
P2.2KGCT-ND;Panasonic Electronic Components;ERJ-3GEYJ222V;REF12;18;
P330GCT-ND;Panasonic Electronic Components;ERJ-3GEYJ331V;REF14;3;
P47GCT-ND;Panasonic Electronic Components;ERJ-3GEYJ470V;REF17;3;
P470GCT-ND;Panasonic Electronic Components;ERJ-3GEYJ471V;REF16;24;
587-3818-1-ND;Taiyo Yuden;FBMH1608HL601-TV;REF42;3;
768-1007-1-ND;FTDI; Future Technology Devices International Ltd;FT232RL-REEL;REF44;3
SAM8799-ND;Samtec Inc.;FTSH-105-01-L-DV-K;REF40;3;
490-12323-1-ND;Murata Electronics North America;GRT188R61E106ME13D;REF34;6;
490-12333-1-ND;Murata Electronics North America;GRT188R61H225ME13D;REF36;6;
296-24818-1-ND;Texas Instruments;ISO1050DUBR;REF45;6;
ISP452CT-ND;Infineon Technologies;ISP452;REF46;6;
490-5839-1-ND;Murata Electronics North America;KCM55WR71J226MH01K;REF38;6;
MMBT3904LT1GOSCT-ND;ON Semiconductor;MMBT3904LT1G;REF25;18;
811-2195-5-ND;Murata Power Solutions Inc.;OKI-78SR-3.3/1.5-W36-C;REF27;3;
811-2196-5-ND;Murata Power Solutions Inc.;OKI-78SR-5/1.5-W36-C;REF28;3;
945-2271-1-ND;Recom Power;R1SE-3.305/H2-R;REF47;6;
497-6513-1-ND;STMicroelectronics;SMBJ20CA-TR;REF29;3;
511-1578-1-ND;Rohm Semiconductor;SML-D12M8WT86;REF49;3;
296-8747-1-ND;Texas Instruments;SN74AHC1G126DCKR;REF20;3;
497-11605-ND;STMicroelectronics;STM32F407VGT6;REF30;3;
296-23944-1-ND;Texas Instruments;TLV2374QPWRG4Q1;REF31;6;
296-24863-1-ND;Texas Instruments;TRS3232EQPWRQ1;REF32;3;
296-21527-1-ND;Texas Instruments;TXB0108PWR;REF33;9;
